Model,MAE,MSE,R2
AdaBoost,0.7235887391289819,0.7735679675771099,0.22643203242289012
Decision Tree,0.5542450323047031,0.5270815796537057,0.4729184203462943
Extra Tree Regression,0.5660934016295491,0.5424584310505468,0.4575415689494532
KNN,0.5585156899385376,0.528640044486422,0.471359955513578
Linear Regression,0.7410534715018576,0.8121723147581013,0.18782768524189875
Random Forest,0.5528512069313233,0.5260191894570371,0.4739808105429629
XGBoost,0.6837423771702045,0.6621165723119546,0.33788342768804536
